iter	Logloss
0	0.6404222758
1	0.5977961343
2	0.5636739408
3	0.5388099361
4	0.5235264218
5	0.5095080041
6	0.4990744444
7	0.4876339371
8	0.4811708763
9	0.4732710286
10	0.4674221388
11	0.462120372
12	0.4594865606
13	0.4554965208
14	0.452031563
15	0.4491577958
16	0.4463344501
17	0.4435150235
18	0.4406742463
19	0.4377857749
20	0.4353202884
21	0.4332215705
22	0.4317252966
23	0.4298401047
24	0.4277155223
25	0.4257837863
26	0.4247531148
27	0.423160912
28	0.4216902684
29	0.4196350524
30	0.4180796973
31	0.4176998685
32	0.415700343
33	0.4150059674
34	0.4137585774
35	0.4130372203
36	0.4113219489
37	0.4094968668
38	0.4083796166
39	0.4069844545
40	0.4059081458
41	0.4044887009
42	0.4036409578
43	0.4022408959
44	0.4020195068
45	0.4004023872
46	0.3989826183
47	0.3980345249
48	0.396916951
49	0.3956487496
50	0.3938503052
51	0.393831976
52	0.393473133
53	0.3923165253
54	0.3922146099
55	0.3914735018
56	0.3901046934
57	0.3894006832
58	0.3889487682
59	0.3879551135
60	0.3877928672
61	0.3870627928
62	0.3860614067
63	0.3844603202
64	0.3843894007
65	0.3837789468
66	0.3832164745
67	0.3823158407
68	0.3820346114
69	0.3808715122
70	0.3803035563
71	0.3791425867
72	0.3780241321
73	0.3766756509
74	0.3756218651
75	0.3738809998
76	0.3724350279
77	0.3714870202
78	0.3704737182
79	0.3691445852
80	0.3682309453
81	0.3671763817
82	0.3664577415
83	0.3658489395
84	0.36450028
85	0.364185494
86	0.3629893664
87	0.3623788771
88	0.3618840268
89	0.3608994043
90	0.3600004935
91	0.3587620842
92	0.3579294504
93	0.3567255594
94	0.3556357682
95	0.3548180832
96	0.3538997275
97	0.3527043827
98	0.3517978544
99	0.3504505606
100	0.3496967338
101	0.3484601509
102	0.3474200493
103	0.3465991185
104	0.3455754304
105	0.3445473748
106	0.3431476799
107	0.3422385313
108	0.3413692642
109	0.3407127181
110	0.3398117674
111	0.3387588274
112	0.337999282
113	0.3371851434
114	0.336373783
115	0.3348924628
116	0.3340537104
117	0.333317658
118	0.332742186
119	0.3320678438
120	0.3311947501
121	0.3303938218
122	0.3297444275
123	0.3290724276
124	0.3283250979
125	0.327643954
126	0.3267243166
127	0.3260344958
128	0.3248047467
129	0.3240351939
130	0.3227187477
131	0.3215041029
132	0.3205495753
133	0.320076254
134	0.3193091561
135	0.3183250394
136	0.317838223
137	0.3170749656
138	0.3161608009
139	0.3149777847
140	0.3142511765
141	0.3136119654
142	0.3124802701
143	0.3119203636
144	0.3110980373
145	0.3103106835
146	0.3095629492
147	0.3084276485
148	0.3076511141
149	0.3071365455
150	0.3064786432
151	0.3054958256
152	0.3046593483
153	0.3042388726
154	0.3034348917
155	0.3033243559
156	0.3021025812
157	0.3015981602
158	0.3010970438
159	0.3003792149
160	0.2994787557
161	0.2994302496
162	0.2985724349
163	0.2978353306
164	0.2971592117
165	0.2967372016
166	0.295840262
167	0.2953820273
168	0.2948655154
169	0.294030539
170	0.293021467
171	0.2929334926
172	0.2922989852
173	0.2914676954
174	0.2909211965
175	0.2900859959
176	0.2895031524
177	0.289204492
178	0.288730991
179	0.2880567151
180	0.28743342
181	0.2866285491
182	0.2859013978
183	0.285061452
184	0.2843225018
185	0.2836084348
186	0.2826253493
187	0.2822360989
188	0.2814271141
189	0.28099899
190	0.2803566258
191	0.2797715566
192	0.2792188114
193	0.2787662101
194	0.2783027699
195	0.2774603026
196	0.2763966981
197	0.2757021034
198	0.2748597266
199	0.2742061823
