iter	Passed	Remaining
0	17	3453
1	27	2765
2	37	2448
3	45	2244
4	53	2082
5	61	1975
6	67	1873
7	74	1796
8	82	1757
9	89	1702
10	96	1658
11	104	1631
12	111	1608
13	121	1609
14	128	1590
15	136	1565
16	143	1544
17	150	1524
18	159	1519
19	166	1501
20	174	1489
21	182	1473
22	189	1459
23	197	1449
24	205	1438
25	214	1436
26	222	1425
27	230	1418
28	238	1408
29	246	1396
30	253	1381
31	259	1360
32	267	1353
33	274	1342
34	282	1333
35	290	1322
36	297	1312
37	305	1302
38	314	1297
39	325	1300
40	333	1292
41	341	1284
42	349	1277
43	358	1269
44	364	1254
45	373	1251
46	382	1245
47	391	1241
48	401	1236
49	411	1233
50	422	1233
51	429	1222
52	439	1218
53	449	1215
54	455	1200
55	464	1194
56	473	1188
57	483	1182
58	493	1180
59	503	1175
60	512	1167
61	522	1161
62	532	1157
63	544	1156
64	549	1141
65	559	1135
66	568	1129
67	578	1122
68	587	1115
69	597	1109
70	606	1102
71	616	1095
72	626	1090
73	637	1085
74	646	1078
75	657	1073
76	667	1066
77	677	1059
78	687	1052
79	697	1046
80	707	1039
81	716	1031
82	726	1024
83	736	1017
84	745	1009
85	755	1001
86	765	993
87	774	985
88	785	979
89	794	970
90	804	963
91	813	954
92	821	945
93	829	935
94	839	928
95	849	920
96	858	911
97	868	904
98	878	896
99	887	887
100	896	878
101	907	871
102	916	863
103	925	854
104	935	846
105	944	837
106	953	828
107	962	819
108	971	811
109	980	802
110	989	793
111	999	785
112	1008	776
113	1017	767
114	1025	758
115	1034	749
116	1043	740
117	1051	730
118	1060	721
119	1069	713
120	1078	704
121	1087	695
122	1096	686
123	1105	677
124	1114	668
125	1123	659
126	1133	651
127	1143	643
128	1153	634
129	1162	625
130	1170	616
131	1180	608
132	1190	599
133	1201	591
134	1211	583
135	1222	575
136	1233	567
137	1242	558
138	1252	549
139	1263	541
140	1274	533
141	1284	524
142	1294	516
143	1308	508
144	1320	500
145	1333	493
146	1345	485
147	1356	476
148	1369	468
149	1380	460
150	1392	451
151	1403	443
152	1413	434
153	1423	425
154	1433	416
155	1442	406
156	1454	398
157	1463	389
158	1473	380
159	1483	370
160	1494	362
161	1503	352
162	1513	343
163	1525	334
164	1534	325
165	1544	316
166	1554	307
167	1564	297
168	1572	288
169	1582	279
170	1591	269
171	1600	260
172	1611	251
173	1620	242
174	1631	233
175	1640	223
176	1650	214
177	1658	205
178	1668	195
179	1677	186
180	1687	177
181	1696	167
182	1704	158
183	1714	149
184	1723	139
185	1731	130
186	1740	120
187	1748	111
188	1755	102
189	1764	92
190	1772	83
191	1780	74
192	1788	64
193	1797	55
194	1806	46
195	1815	37
196	1824	27
197	1834	18
198	1845	9
199	1853	0
